Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Alaa Abdelnaby,1991,1992,2,114,1224,233,477,0,0,101,145,108,349,42,29,28,88,171,567,.488,,.697,10.7,5.0,3.1,0.4,0.3,0.2,abdelal01
2,Shareef Abdur-Rahim,2004,2005,2,86,2595,455,934,19,50,299,349,171,536,158,73,44,170,225,1228,.487,.380,.857,30.2,14.3,6.2,1.8,0.8,0.5,abdursh01
3,Rick Adelman,1971,1973,3,237,6570,921,2173,,,491,672,,668,1087,,,,578,2333,.424,,.731,27.7,9.8,2.8,4.6,,,adelmri01
4,Arron Afflalo,2015,2015,1,25,752,94,227,36,90,40,47,6,67,28,9,2,33,59,264,.414,.400,.851,30.1,10.6,2.7,1.1,0.4,0.1,afflaar01
5,Danny Ainge,1991,1992,2,161,3305,636,1390,180,481,222,269,85,353,487,136,26,170,343,1674,.458,.374,.825,20.5,10.4,2.2,3.0,0.8,0.2,aingeda01
6,LaMarcus Aldridge,2007,2015,9,648,22972,5121,10565,61,221,2259,2839,1736,5434,1261,527,658,1046,1696,12562,.485,.276,.796,35.5,19.4,8.4,1.9,0.8,1.0,aldrila01
7,Cliff Alexander,2016,2016,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,.500,,,4.5,1.3,0.8,0.0,0.1,0.3,alexacl01
8,Al-Farouq Aminu,2016,2019,4,293,8478,969,2360,417,1180,420,545,384,2085,425,279,170,365,552,2775,.411,.353,.771,28.9,9.5,7.1,1.5,1.0,0.6,aminual01
9,Dan Anderson,1975,1976,2,95,1067,135,286,,,77,91,23,91,166,36,3,,102,347,.472,,.846,11.2,3.7,1.0,1.7,0.4,0.0,anderda02
10,Derek Anderson,2002,2005,4,244,7465,984,2447,338,969,634,752,151,763,912,260,31,375,422,2940,.402,.349,.843,30.6,12.0,3.1,3.7,1.1,0.1,anderde01
11,Kenny Anderson,1997,1998,2,127,4553,689,1664,179,499,446,580,127,497,829,223,16,307,321,2003,.414,.359,.769,35.9,15.8,3.9,6.5,1.8,0.1,anderke01
12,Kim Anderson,1979,1979,1,21,224,24,77,,,15,28,17,45,15,4,5,22,42,63,.312,,.536,10.7,3.0,2.1,0.7,0.2,0.2,anderki01
13,Richard Anderson,1988,1989,2,134,2379,305,761,91,276,86,110,144,517,206,94,28,114,233,787,.401,.330,.782,17.8,5.9,3.9,1.5,0.7,0.2,anderri01
14,Carmelo Anthony,2020,2021,2,127,3592,663,1559,220,551,273,315,103,582,189,95,65,161,315,1819,.425,.399,.867,28.3,14.3,4.6,1.5,0.7,0.5,anthoca01
15,Greg Anthony,1999,2001,3,190,3210,370,920,202,517,173,238,52,257,390,165,15,183,281,1115,.402,.391,.727,16.9,5.9,1.4,2.1,0.9,0.1,anthogr01
16,Ryan Arcidiacono,2023,2023,1,9,146,8,32,7,20,0,0,0,11,21,3,0,6,14,23,.250,.350,,16.2,2.6,1.2,2.3,0.3,0.0,arcidry01
17,Trevor Ariza,2020,2020,1,21,702,78,159,34,85,41,47,13,100,41,34,8,28,48,231,.491,.400,.872,33.4,11.0,4.8,2.0,1.6,0.4,arizatr01
18,Vincent Askew,1998,1998,1,30,443,19,54,0,2,28,39,21,68,38,19,5,35,39,66,.352,.000,.718,14.8,2.2,2.3,1.3,0.6,0.2,askewvi01
19,Stacey Augmon,1997,2001,5,284,4843,516,1130,1,15,281,430,286,724,338,221,89,234,457,1314,.457,.067,.653,17.1,4.6,2.5,1.2,0.8,0.3,augmost01
20,Deni Avdija,2025,2025,1,72,2161,402,844,125,342,290,372,110,522,281,71,35,196,171,1219,.476,.365,.780,30.0,16.9,7.3,3.9,1.0,0.5,avdijde01
21,Dennis Awtrey,1982,1982,1,10,121,5,15,0,0,5,9,7,14,8,1,2,6,28,15,.333,,.556,12.1,1.5,1.4,0.8,0.1,0.2,awtrede01
22,Jeff Ayres,2010,2010,1,39,405,43,65,0,0,18,20,25,98,1,7,16,12,76,104,.662,,.900,10.4,2.7,2.5,0.0,0.2,0.4,pendeje02
23,Deandre Ayton,2024,2025,2,95,2990,692,1217,7,42,105,139,300,1015,154,87,81,168,197,1496,.569,.167,.755,31.5,15.7,10.7,1.6,0.9,0.9,aytonde01
24,Luke Babbitt,2011,2013,3,126,1404,172,462,108,294,30,42,37,262,51,26,11,57,143,482,.372,.367,.714,11.1,3.8,2.1,0.4,0.2,0.1,babbilu01
25,Ibou Badji,2024,2024,1,22,226,14,22,0,0,6,12,20,51,13,3,20,15,46,34,.636,,.500,10.3,1.5,2.3,0.6,0.1,0.9,badjiib01
26,Carl Bailey,1982,1982,1,1,7,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1.000,,,7.0,2.0,0.0,0.0,0.0,0.0,baileca01
27,Maurice Baker,2005,2005,1,4,18,0,1,0,0,0,0,1,2,1,1,0,1,3,0,.000,,,4.5,0.0,0.5,0.3,0.3,0.0,bakerma01
28,Wade Baldwin,2018,2019,2,23,174,24,54,6,14,14,21,3,23,17,3,3,18,23,68,.444,.429,.667,7.6,3.0,1.0,0.7,0.1,0.1,baldwwa01
29,Dalano Banton,2024,2025,2,97,1996,381,956,129,405,169,225,59,278,268,71,51,153,102,1060,.399,.319,.751,20.6,10.9,2.9,2.8,0.7,0.5,bantoda01
30,Erick Barkley,2001,2002,2,27,266,32,90,4,15,9,10,5,21,40,19,1,17,31,77,.356,.267,.900,9.9,2.9,0.8,1.5,0.7,0.0,barkler01
31,Jim Barnett,1971,1971,1,78,2371,559,1283,,,326,402,,376,323,,,,190,1444,.436,,.811,30.4,18.5,4.8,4.1,,,barneji02
