Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Alaa Abdelnaby,1993,1994,2,76,1311,243,472,0,0,92,125,126,346,20,21,25,101,185,578,.515,,.736,17.3,7.6,4.6,0.3,0.3,0.3,abdelal01
2,Zaid Abdul-Aziz,1978,1978,1,2,24,3,13,,,2,3,6,15,3,1,1,3,4,8,.231,,.667,12.0,4.0,7.5,1.5,0.5,0.5,abdulza01
3,Mark Acres,1988,1989,2,141,1783,163,317,1,1,97,159,164,416,61,48,33,77,292,424,.514,1.000,.610,12.6,3.0,3.0,0.4,0.3,0.2,acresma01
4,Danny Ainge,1982,1989,8,556,15603,2537,5210,348,901,835,963,405,1534,2422,671,58,875,1420,6257,.487,.386,.867,28.1,11.3,2.8,4.4,1.2,0.1,aingeda01
5,Kadeem Allen,2018,2018,1,18,107,6,22,0,11,7,9,4,11,12,3,2,9,15,19,.273,.000,.778,5.9,1.1,0.6,0.7,0.2,0.1,allenka01
6,Ray Allen,2008,2012,5,358,12774,2108,4470,798,1949,973,1064,251,1215,981,324,78,575,716,5987,.472,.409,.914,35.7,16.7,3.4,2.7,0.9,0.2,allenra02
7,Tony Allen,2005,2010,6,336,6194,881,1846,55,187,606,829,260,873,439,351,117,471,744,2423,.477,.294,.731,18.4,7.2,2.6,1.3,1.0,0.3,allento01
8,Jerome Anderson,1976,1976,1,22,126,25,45,,,11,16,4,13,6,3,3,,25,61,.556,,.688,5.7,2.8,0.6,0.3,0.1,0.1,anderje01
9,Kenny Anderson,1998,2002,5,241,7268,1059,2433,121,337,478,606,155,715,1250,383,22,401,616,2717,.435,.359,.789,30.2,11.3,3.0,5.2,1.6,0.1,anderke01
10,Joel Anthony,2014,2014,1,21,149,10,26,0,0,2,6,13,31,2,3,8,2,13,22,.385,,.333,7.1,1.0,1.5,0.1,0.1,0.4,anthojo01
11,Tiny Archibald,1979,1983,5,363,11324,1567,3338,15,67,1401,1773,170,683,2563,326,41,1045,792,4550,.469,,.790,31.2,12.5,1.9,7.1,0.9,0.1,architi01
12,Jim Ard,1975,1978,4,204,2550,292,815,,,169,243,233,788,142,43,96,0,366,753,.358,,.695,12.5,3.7,3.9,0.7,0.2,0.5,ardji01
13,Carlos Arroyo,2011,2011,1,15,190,11,35,3,5,11,12,7,23,25,7,0,17,11,36,.314,.600,.917,12.7,2.4,1.5,1.7,0.5,0.0,arroyca01
14,Chucky Atkins,2004,2004,1,24,793,104,249,39,111,42,54,3,45,128,26,1,44,42,289,.418,.351,.778,33.0,12.0,1.9,5.3,1.1,0.0,atkinch01
15,Dennis Awtrey,1979,1979,1,23,247,17,44,,,16,20,13,47,20,3,6,21,37,50,.386,,.800,10.7,2.2,2.0,0.9,0.1,0.3,awtrede01
