Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Rick Adelman,1975,1975,1,28,613,67,159,,,41,59,13,55,69,47,6,,58,175,.421,,.695,21.9,6.3,2.0,2.5,1.7,0.2,adelmri01
2,Ochai Agbaji,2023,2024,2,110,2212,271,635,128,370,71,89,78,247,114,43,44,75,165,741,.427,.346,.798,20.1,6.7,2.2,1.0,0.4,0.4,agbajoc01
3,Blake Ahearn,2012,2012,1,4,30,4,14,2,9,0,0,0,2,1,0,0,5,4,10,.286,.222,,7.5,2.5,0.5,0.3,0.0,0.0,ahearbl01
4,Nickeil Alexander-Walker,2022,2023,2,51,677,99,218,45,120,38,51,9,82,93,29,18,53,73,281,.454,.375,.745,13.3,5.5,1.6,1.8,0.6,0.4,alexani01
5,Grayson Allen,2019,2019,1,38,416,67,178,32,99,45,60,3,23,25,6,6,33,47,211,.376,.323,.750,10.9,5.6,0.6,0.7,0.2,0.2,allengr01
6,Morris Almond,2008,2009,2,34,294,37,96,6,21,25,32,9,38,10,5,4,18,36,105,.385,.286,.781,8.6,3.1,1.1,0.3,0.1,0.1,almonmo01
7,John Amaechi,2002,2003,2,104,1060,91,284,0,0,92,157,78,186,50,21,17,89,114,274,.320,,.586,10.2,2.6,1.8,0.5,0.2,0.2,amaecjo01
8,Lou Amundson,2007,2007,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0,amundlo01
9,J.J. Anderson,1983,1985,3,144,1922,298,636,0,8,138,246,182,427,109,106,39,126,245,734,.469,.000,.561,13.3,5.1,3.0,0.8,0.7,0.3,anderjj01
10,Shandon Anderson,1997,1999,3,197,3740,578,1181,45,120,293,409,187,538,194,132,36,230,347,1494,.489,.375,.716,19.0,7.6,2.7,1.0,0.7,0.2,andersh01
11,Rafael Araújo,2007,2007,1,28,248,27,65,0,0,18,29,22,66,10,6,2,17,39,72,.415,,.621,8.9,2.6,2.4,0.4,0.2,0.1,araujra01
12,Carlos Arroyo,2003,2005,3,145,3037,482,1109,48,142,252,310,63,257,560,95,9,241,260,1264,.435,.338,.813,20.9,8.7,1.8,3.9,0.7,0.1,arroyca01
13,Isaac Austin,1992,1993,2,77,418,71,158,0,1,48,74,49,114,11,10,16,31,80,190,.449,.000,.649,5.4,2.5,1.5,0.1,0.1,0.2,austiis01
14,Anthony Avent,1999,1999,1,5,44,4,13,0,0,1,2,8,12,1,2,0,7,6,9,.308,,.500,8.8,1.8,2.4,0.2,0.4,0.0,aventan01
15,Udoka Azubuike,2021,2023,3,68,611,100,130,0,0,21,41,53,203,11,8,30,33,68,221,.769,,.512,9.0,3.3,3.0,0.2,0.1,0.4,azubuud01
16,Gus Bailey,1978,1979,2,50,458,61,146,,,37,67,46,84,42,18,15,34,47,159,.418,,.552,9.2,3.2,1.7,0.8,0.4,0.3,bailegu01
