Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Tariq Abdul-Wahad,2000,2000,1,46,1205,223,515,2,21,115,151,77,239,72,53,16,87,116,563,.433,.095,.762,26.2,12.2,5.2,1.6,1.2,0.3,abdulta01
2,Mark Acres,1990,1992,3,216,3930,325,650,5,10,200,288,391,1042,114,86,65,145,606,855,.500,.500,.694,18.2,4.0,4.8,0.5,0.4,0.3,acresma01
3,Arron Afflalo,2013,2018,3,190,5541,926,2078,227,610,487,585,65,567,484,79,23,305,329,2566,.446,.372,.832,29.2,13.5,3.0,2.5,0.4,0.1,afflaar01
4,Cory Alexander,2001,2001,1,26,227,18,56,4,16,12,18,0,25,36,16,0,25,29,52,.321,.250,.667,8.7,2.0,1.0,1.4,0.6,0.0,alexaco01
5,Malik Allen,2011,2011,1,18,178,11,31,0,0,1,2,12,32,4,1,4,3,30,23,.355,,.500,9.9,1.3,1.8,0.2,0.1,0.2,allenma01
6,Rafer Alston,2009,2009,1,29,856,123,298,32,101,70,99,8,83,148,51,3,52,63,348,.413,.317,.707,29.5,12.0,2.9,5.1,1.8,0.1,alstora01
7,John Amaechi,2000,2001,2,162,3394,543,1292,1,13,399,570,139,534,169,63,66,263,336,1486,.420,.077,.700,21.0,9.2,3.3,1.0,0.4,0.4,amaecjo01
8,Al-Farouq Aminu,2020,2021,2,35,747,61,175,16,67,33,46,44,178,50,35,17,42,49,171,.349,.239,.717,21.3,4.9,5.1,1.4,1.0,0.5,aminual01
9,Nick Anderson,1990,1999,10,692,22440,4075,8976,900,2480,1600,2376,924,3667,1937,1004,338,1242,1354,10650,.454,.363,.673,32.4,15.4,5.3,2.8,1.5,0.5,anderni01
10,Ryan Anderson,2010,2012,3,188,4299,727,1670,378,974,316,370,423,1028,143,105,78,162,364,2148,.435,.388,.854,22.9,11.4,5.5,0.8,0.6,0.4,anderry01
11,Michael Ansley,1990,1991,2,139,2098,375,728,0,0,255,354,309,615,65,51,24,82,277,1005,.515,,.720,15.1,7.2,4.4,0.5,0.4,0.2,anslemi01
12,Cole Anthony,2021,2025,5,320,7935,1415,3380,435,1262,750,885,227,1372,1223,222,135,596,753,4015,.419,.345,.847,24.8,12.5,4.3,3.8,0.7,0.4,anthoco01
13,Keith Appling,2016,2016,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,.250,.000,1.000,5.4,1.2,0.2,0.2,0.2,0.0,applike01
14,Robert Archibald,2004,2004,1,1,4,1,2,0,0,0,2,0,1,0,1,0,0,0,2,.500,,.000,4.0,2.0,1.0,0.0,1.0,0.0,archiro01
15,Gilbert Arenas,2011,2011,1,49,1070,139,404,50,182,64,86,16,119,157,44,9,106,112,392,.344,.275,.744,21.8,8.0,2.4,3.2,0.9,0.2,arenagi01
