Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Quincy Acy,2017,2018,2,102,1869,195,518,138,375,92,117,58,364,75,47,44,79,207,620,.376,.368,.786,18.3,6.1,3.6,0.7,0.5,0.4,acyqu01
2,Hassan Adams,2007,2007,1,61,495,75,135,0,1,24,36,35,77,13,17,4,22,47,174,.556,.000,.667,8.1,2.9,1.3,0.2,0.3,0.1,adamsha01
3,Rafael Addison,1992,1993,2,144,2339,369,843,21,83,113,146,110,297,121,51,39,110,234,872,.438,.253,.774,16.2,6.1,2.1,0.8,0.4,0.3,addisra01
4,Maurice Ager,2008,2009,2,34,185,31,81,3,17,5,14,6,19,7,1,2,7,23,70,.383,.176,.357,5.4,2.1,0.6,0.2,0.0,0.1,agerma01
5,LaMarcus Aldridge,2021,2022,2,52,1180,277,506,18,51,99,112,75,282,55,17,58,51,89,671,.547,.353,.884,22.7,12.9,5.4,1.1,0.3,1.1,aldrila01
6,Jarrett Allen,2018,2021,4,234,5709,915,1495,11,66,528,756,589,1856,289,118,319,284,514,2369,.612,.167,.698,24.4,10.1,7.9,1.2,0.5,1.4,allenja01
7,Malik Allen,2008,2008,1,48,763,124,261,1,2,12,13,42,128,29,15,21,32,89,261,.475,.500,.923,15.9,5.4,2.7,0.6,0.3,0.4,allenma01
8,Rafer Alston,2010,2010,1,27,766,95,277,28,87,44,54,9,75,104,27,5,61,50,262,.343,.322,.815,28.4,9.7,2.8,3.9,1.0,0.2,alstora01
9,Alan Anderson,2014,2015,2,152,3517,389,925,157,458,174,219,71,379,164,104,16,122,295,1109,.421,.343,.795,23.1,7.3,2.5,1.1,0.7,0.1,anderal01
10,Dan Anderson,1968,1969,2,103,3303,564,1171,0,0,298,411,382,1073,126,,,174,412,1426,.482,,.725,32.1,13.8,10.4,1.2,,,anderda01
11,Greg Anderson,1991,1991,1,1,18,4,4,0,0,0,0,4,6,1,2,0,1,4,8,1.000,,,18.0,8.0,6.0,1.0,2.0,0.0,andergr01
12,Justin Anderson,2020,2020,1,10,107,10,38,6,29,2,4,1,21,8,0,6,4,13,28,.263,.207,.500,10.7,2.8,2.1,0.8,0.0,0.6,anderju01
13,Kenny Anderson,1992,1996,5,304,9962,1687,4122,183,563,1098,1355,288,1026,2363,476,57,799,666,4655,.409,.325,.810,32.8,15.3,3.4,7.8,1.6,0.2,anderke01
