Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Mahmoud Abdul-Rauf,1991,1996,6,439,12481,2880,6500,371,1048,898,980,192,903,1756,406,38,799,851,7029,.443,.354,.916,28.4,16.0,2.1,4.0,0.9,0.1,abdulma02
2,Tariq Abdul-Wahad,2000,2002,3,64,1210,149,387,6,14,76,110,77,189,70,38,34,77,136,380,.385,.429,.691,18.9,5.9,3.0,1.1,0.6,0.5,abdulta01
3,Michael Adams,1988,1991,4,304,10601,1842,4419,630,1841,1220,1435,218,987,2181,602,36,705,582,5534,.417,.342,.850,34.9,18.2,3.2,7.2,2.0,0.1,adamsmi01
4,Arron Afflalo,2010,2015,4,266,8381,1194,2568,383,961,534,659,165,880,556,148,79,313,620,3305,.465,.399,.810,31.5,12.4,3.3,2.1,0.6,0.3,afflaar01
5,DeVaughn Akoon-Purcell,2019,2019,1,7,22,3,10,0,4,1,2,1,4,6,2,0,2,4,7,.300,.000,.500,3.1,1.0,0.6,0.9,0.3,0.0,akoonde01
6,Mark Alarie,1987,1987,1,64,1110,217,443,2,9,67,101,73,214,74,22,28,56,138,503,.490,.222,.663,17.3,7.9,3.3,1.2,0.3,0.4,alarima01
7,Cory Alexander,1998,2000,3,88,1904,236,613,85,252,109,131,25,215,315,104,13,162,161,666,.385,.337,.832,21.6,7.6,2.4,3.6,1.2,0.1,alexaco01
8,Trey Alexander,2025,2025,1,24,117,13,41,3,17,3,4,1,12,11,2,1,5,10,32,.317,.176,.750,4.9,1.3,0.5,0.5,0.1,0.0,alexatr01
9,Jerome Allen,1997,1997,1,25,251,21,74,7,34,15,25,12,33,43,4,4,13,17,64,.284,.206,.600,10.0,2.6,1.3,1.7,0.2,0.2,allenje01
10,Malik Allen,2010,2010,1,51,456,46,116,1,6,12,13,36,82,16,11,5,22,68,105,.397,.167,.923,8.9,2.1,1.6,0.3,0.2,0.1,allenma01
11,Chris Andersen,2002,2012,7,378,6571,672,1350,2,20,592,909,669,1940,164,196,624,291,720,1938,.498,.100,.651,17.4,5.1,5.1,0.4,0.5,1.7,anderch01
12,Cliff Anderson,1970,1970,1,3,22,2,4,0,0,2,6,1,4,4,,,3,3,6,.500,,.333,7.3,2.0,1.3,1.3,,,andercl01
13,Dwight Anderson,1983,1983,1,5,33,7,14,0,0,7,10,0,2,3,1,0,5,7,21,.500,,.700,6.6,4.2,0.4,0.6,0.2,0.0,anderdw01
